delay,freq,condition,textbox.text,,,,,,delay,freq,condition,textbox.text,,,,,,,
0.7,1000,exp,50,,,,,,0.7,400,unexp,300,,,,,,,
0.7,1000,exp,999,,,,,,0.7,400,unexp,200,,,,,,,
0.7,1000,exp,999,,,,,,0.7,400,unexp,800,,,,,,,
0.7,1000,exp,999,,,,,,0.7,400,unexp,999,,,,,,,
0.7,1000,exp,999,,,,,,0.7,400,unexp,200,,,,,,,
0.7,1000,exp,999,,,,,,0.7,400,unexp,900,,,,,,,
0.7,1000,exp,999,,,,,,0.7,400,unexp,900,,,,0.1,0.4,0.7,
0.7,1000,exp,800,,,,,,0.7,400,unexp,800,,,EXP,250.2843137,479.5784314,631.3235294,453.7287582
0.7,1000,exp,999,,,,,,0.7,400,unexp,999,,,UNEXP,251.4705882,459.3529412,573.3823529,428.0686275
0.7,1000,exp,999,,,AVERAGE OF EXP,453.7287582,,0.7,400,unexp,999,,,,,,,
0.7,1000,exp,999,,,AVERAGEOF UNEXP,428.0686275,,0.7,400,unexp,999,,,,difference,25.66013072,,
0.7,1000,exp,999,,,,,,0.7,400,unexp,999,,,,,,,
0.7,1000,exp,800,,,,,,0.7,400,unexp,800,,,,,,,
0.7,1000,exp,600,,,,,,0.7,400,unexp,500,,,,,,,
0.7,1000,exp,999,,,,,,0.7,400,unexp,900,,,,,,,
0.7,1000,exp,999,,,,,,0.7,400,unexp,400,,,,,,,
0.7,1000,exp,999,,,,,,0.7,400,unexp,600,,,,,,,
0.7,1000,exp,999,,,,,,0.7,400,unexp,800,,,,,,,
0.7,1000,exp,100,,,,,,0.7,400,unexp,100,,,,,,,
0.7,1000,exp,999,,,,,,0.7,400,unexp,500,,,,,,,
0.7,1000,exp,800,,,,,,0.7,400,unexp,500,,,,,,,
0.7,1000,exp,900,,,,,,0.7,400,unexp,200,,,,,,,
0.7,1000,exp,900,,,,,,0.7,400,unexp,700,,,,,,,
0.7,1000,exp,999,,,,,,0.7,400,unexp,300,,,,,,,
0.7,1000,exp,999,,,,,,0.7,400,unexp,600,,,,,,,
0.7,1000,exp,999,,,,,,0.7,400,unexp,800,,,,,,,
0.7,1000,exp,70,,,,,,0.7,400,unexp,800,,,,,,,
0.7,1000,exp,999,,,,,,0.7,400,unexp,300,,,,,,,
0.7,1000,exp,999,,,,,,0.7,400,unexp,200,,,,,,,
0.7,1000,exp,800,,,,,,0.7,400,unexp,300,,,,,,,
0.7,1000,exp,400,,,,,,0.7,400,unexp,300,,,,,,,
0.7,1000,exp,200,,,,,,0.7,400,unexp,300,,,,,,,
0.7,1000,exp,999,,,,,,0.7,400,unexp,200,,,,,,,
0.7,1000,exp,800,,,,,,0.7,400,unexp,300,,,,,,,
0.7,1000,exp,999,,,,,,0.4,400,unexp,500,,,,,,,
0.7,1000,exp,100,,,,,,0.4,400,unexp,200,,,,,,,
0.7,1000,exp,300,,,,,,0.4,400,unexp,200,,,,,,,
0.7,1000,exp,999,,,,,,0.4,400,unexp,900,,,,,,,
0.7,1000,exp,999,,,,,,0.4,400,unexp,400,,,,,,,
0.7,1000,exp,999,,,,,,0.4,400,unexp,700,,,,,,,
0.7,1000,exp,700,,,,,,0.4,400,unexp,200,,,,,,,
0.7,1000,exp,700,,,,,,0.4,400,unexp,200,,,,,,,
0.7,1000,exp,900,,,,,,0.4,400,unexp,900,,,,,,,
0.7,1000,exp,700,,,,,,0.4,400,unexp,20,,,,,,,
0.7,1000,exp,900,,,,,,0.4,400,unexp,999,,,,,,,
0.7,1000,exp,700,,,,,,0.4,400,unexp,999,,,,,,,
0.7,1000,exp,200,,,,,,0.4,400,unexp,200,,,,,,,
0.7,1000,exp,400,,,,,,0.4,400,unexp,600,,,,,,,
0.7,1000,exp,800,,,,,,0.4,400,unexp,800,,,,,,,
0.7,1000,exp,900,,,,,,0.4,400,unexp,400,,,,,,,
0.7,1000,exp,300,,,,,,0.4,400,unexp,500,,,,,,,
0.7,1000,exp,400,,,,,,0.4,400,unexp,200,,,,,,,
0.7,1000,exp,900,,,,,,0.4,400,unexp,400,,,,,,,
0.7,1000,exp,700,,,,,,0.4,400,unexp,500,,,,,,,
0.7,1000,exp,200,,,,,,0.4,400,unexp,300,,,,,,,
0.7,1000,exp,400,,,,,,0.4,400,unexp,500,,,,,,,
0.7,1000,exp,200,,,,,,0.4,400,unexp,300,,,,,,,
0.7,1000,exp,900,,,,,,0.4,400,unexp,300,,,,,,,
0.7,1000,exp,900,,,,,,0.4,400,unexp,400,,,,,,,
0.7,1000,exp,400,,,,,,0.4,400,unexp,800,,,,,,,
0.7,1000,exp,300,,,,,,0.4,400,unexp,800,,,,,,,
0.7,1000,exp,900,,,,,,0.4,400,unexp,300,,,,,,,
0.7,1000,exp,400,,,,,,0.4,400,unexp,400,,,,,,,
0.7,1000,exp,300,,,,,,0.4,400,unexp,300,,,,,,,
0.7,1000,exp,300,,,,,,0.4,400,unexp,200,,,,,,,
0.7,1000,exp,200,,,,,,0.4,400,unexp,500,,,,,,,
0.7,1000,exp,300,,,,,,0.4,400,unexp,400,,,,,,,
0.7,1000,exp,300,,,,,,0.4,400,unexp,300,,,,,,,
0.7,1000,exp,800,,,,,,0.1,400,unexp,300,,,,,,,
0.7,1000,exp,900,,,,,,0.1,400,unexp,100,,,,,,,
0.7,1000,exp,400,,,,,,0.1,400,unexp,100,,,,,,,
0.7,1000,exp,200,,,,,,0.1,400,unexp,100,,,,,,,
0.7,1000,exp,500,,,,,,0.1,400,unexp,100,,,,,,,
0.7,1000,exp,900,,,,,,0.1,400,unexp,40,,,,,,,
0.7,1000,exp,700,,,,,,0.1,400,unexp,100,,,,,,,
0.7,1000,exp,400,,,,,,0.1,400,unexp,100,,,,,,,
0.7,1000,exp,600,,,,,,0.1,400,unexp,70,,,,,,,
0.7,1000,exp,300,,,,,,0.1,400,unexp,50,,,,,,,
0.7,1000,exp,200,,,,,,0.1,400,unexp,30,,,,,,,
0.7,1000,exp,700,,,,,,0.1,400,unexp,60,,,,,,,
0.7,1000,exp,300,,,,,,0.1,400,unexp,200,,,,,,,
0.7,1000,exp,200,,,,,,0.1,400,unexp,300,,,,,,,
0.7,1000,exp,800,,,,,,0.1,400,unexp,600,,,,,,,
0.7,1000,exp,200,,,,,,0.1,400,unexp,600,,,,,,,
0.7,1000,exp,300,,,,,,0.1,400,unexp,300,,,,,,,
0.7,1000,exp,300,,,,,,0.1,400,unexp,200,,,,,,,
0.7,1000,exp,200,,,,,,0.1,400,unexp,400,,,,,,,
0.7,1000,exp,900,,,,,,0.1,400,unexp,500,,,,,,,
0.7,1000,exp,700,,,,,,0.1,400,unexp,200,,,,,,,
0.7,1000,exp,400,,,,,,0.1,400,unexp,100,,,,,,,
0.7,1000,exp,400,,,,,,0.1,400,unexp,200,,,,,,,
0.7,1000,exp,400,,,,,,0.1,400,unexp,200,,,,,,,
0.7,1000,exp,400,,,,,,0.1,400,unexp,300,,,,,,,
0.7,1000,exp,600,,,,,,0.1,400,unexp,300,,,,,,,
0.7,1000,exp,800,,,,,,0.1,400,unexp,400,,,,,,,
0.7,1000,exp,600,,,,,,0.1,400,unexp,200,,,,,,,
0.7,1000,exp,500,,,,,,0.1,400,unexp,300,,,,,,,
0.7,1000,exp,600,,,,,,0.1,400,unexp,300,,,,,,,
0.7,1000,exp,300,,,,,,0.1,400,unexp,500,,,,,,,
0.7,1000,exp,400,,,,,,0.1,400,unexp,500,,,,,,,
0.7,1000,exp,400,,,,,,0.1,400,unexp,300,,,,,,,
0.7,1000,exp,300,,,,,,0.1,400,unexp,500,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,600,,,,,,,,,,,,,,,,
0.4,1000,exp,700,,,,,,,,,,,,,,,,
0.4,1000,exp,800,,,,,,,,,,,,,,,,
0.4,1000,exp,900,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,750,,,,,,,,,,,,,,,,
0.4,1000,exp,800,,,,,,,,,,,,,,,,
0.4,1000,exp,900,,,,,,,,,,,,,,,,
0.4,1000,exp,800,,,,,,,,,,,,,,,,
0.4,1000,exp,900,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,700,,,,,,,,,,,,,,,,
0.4,1000,exp,900,,,,,,,,,,,,,,,,
0.4,1000,exp,700,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,800,,,,,,,,,,,,,,,,
0.4,1000,exp,900,,,,,,,,,,,,,,,,
0.4,1000,exp,900,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,900,,,,,,,,,,,,,,,,
0.4,1000,exp,999,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,999,,,,,,,,,,,,,,,,
0.4,1000,exp,800,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,70,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,999,,,,,,,,,,,,,,,,
0.4,1000,exp,100,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,600,,,,,,,,,,,,,,,,
0.4,1000,exp,600,,,,,,,,,,,,,,,,
0.4,1000,exp,700,,,,,,,,,,,,,,,,
0.4,1000,exp,600,,,,,,,,,,,,,,,,
0.4,1000,exp,700,,,,,,,,,,,,,,,,
0.4,1000,exp,100,,,,,,,,,,,,,,,,
0.4,1000,exp,900,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,900,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,600,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,100,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,900,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,600,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,700,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,600,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,100,,,,,,,,,,,,,,,,
0.4,1000,exp,600,,,,,,,,,,,,,,,,
0.4,1000,exp,700,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,600,,,,,,,,,,,,,,,,
0.4,1000,exp,100,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,700,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,600,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,700,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,10,,,,,,,,,,,,,,,,
0.1,1000,exp,700,,,,,,,,,,,,,,,,
0.1,1000,exp,700,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,50,,,,,,,,,,,,,,,,
0.1,1000,exp,999,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,90,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,800,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,90,,,,,,,,,,,,,,,,
0.1,1000,exp,50,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,50,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,150,,,,,,,,,,,,,,,,
0.1,1000,exp,150,,,,,,,,,,,,,,,,
0.1,1000,exp,90,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,50,,,,,,,,,,,,,,,,
0.1,1000,exp,50,,,,,,,,,,,,,,,,
0.1,1000,exp,50,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,850,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,700,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,50,,,,,,,,,,,,,,,,
0.1,1000,exp,30,,,,,,,,,,,,,,,,
0.1,1000,exp,20,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,600,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,500,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,500,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,800,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,500,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,500,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
